Q_Id,Item,starke.Ablehnung,Ablehnung,neutral,Zustimmung ,starke.Zustimmung
1,1. Der Besuch einer Kunstausstellung würde mich ziemlich langweilen.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
4,4. Im Allgemeinen bin ich mit mir ziemlich zufrieden.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
7,"7. Ich bin daran interessiert, etwas über die Geschichte und Politik anderer Länder zu lernen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
10,10. Bei Gruppentreffen sage ich nur selten meine Meinung.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
13,"13. Ich wünsche mir einen Beruf, der Routine verlangt, anstatt einen, der Kreativität fordert.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
16,"16. Ich vermeide es, mit anderen Leuten Small Talk zu halten.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
19,"19. Ich denke, dass es Zeitverschwendung ist, radikalen Ideen Aufmerksamkeit zu schenken.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
22,22. Ich bin fast immer voller Energie.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
25,"25. Ich würde meine Zeit nicht damit verbringen, einen Gedichtband zu lesen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
28,"28. Ich glaube, dass die m eisten Menschen einige Aspekte meines Charakters mögen.   ",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
31,"31. Ich mag es, Landkarten von anderen Orten zu betrachten.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
34,"34. In sozialen Situationen bin ich gewöhnlich der, der den ersten Schritt macht.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
37,"37. Ich würde es genießen, ein Kunstwerk zu schaffen, etwa einen Roman, ein Lied oder ein Gemälde.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
40,"40. Ich genieße es, viele Leute um mich herum zu haben, mit denen ich reden kann.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
43,"43. Ich mag Leute, die unkonventionelle Ideen haben.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
46,46. An den meisten Tagen bin ich fröhlich und optimistisch.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
49,"49. Wenn ich die Gelegenheit dazu hätte, würde ich gerne ein Konzert mit klassischer Musik besuchen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
52,"52. Ich bin der Meinung, dass ich nicht beliebt bin.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
55,55. Ich wäre von einem Buch über die Geschichte der Wissenschaft und Technik sehr gelangweilt.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
58,"58. Wenn ich in einer Gruppe von Leuten bin, bin ich oft derjenige, der im Namen der Gruppe spricht.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
61,"61. Man hat mir schon oft gesagt, dass ich eine gute Vorstellungskraft habe.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
64,"64. Ich ziehe Berufe, in denen man sich aktiv mit anderen Menschen auseinandersetzt solchen vor, in denen man alleine arbeitet. ",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
67,67. Ich halte mich selber für eine etwas exzentrische Person.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
70,"70. Andere sagen mir oft, dass ich versuchen sollte, etwas fröhlicher zu sein.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
73,"73. Manchmal mag ich es, einfach nur dem Wind zuzusehen, wie er durch die Bäume bläst.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
76,"76. Manchmal habe ich den Eindruck, dass ich wertlos bin.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
79,"79. Ich habe es noch nie wirklich gemocht, eine Enzyklopädie durchzublättern.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
82,82. Ich fühle mich nicht ganz behaglich wenn ich vor einer Gruppe von Leuten spreche.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
85,85. Ich halte mich nicht für einen künstlerischen oder kreativen Menschen.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
88,"88. Das erste, was ich an einem neuen Ort tue, ist, Freundschaften zu schließen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
91,"91. Ich finde es langweilig, über Philosophie zu diskutieren.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
94,94. Die meisten Leute sind aufgedrehter und dynamischer als ich es im Allgemeinen bin.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung
