Q_Id,Item
1,1. Wie schätzen Sie Ihre finanzielle Risikobereitschaft im Vergleich zu anderen Menschen ein?
2,"2. Wie leicht können Sie sich anpassen, wenn finanziell etwas schief läuft?"
3,"3. Wenn Sie an das Wort „Risiko“ im finanziellen Sinne denken, welches der folgenden Wörter fällt Ihnen am ehesten ein?"
4,"4. Haben Sie jemals eine große Summe in eine risikoreiche Investition investiert, hauptsächlich um einen „Nervenkitzel“ zu erleben, wenn diese im Wert steigt oder fällt?"
5,5. Wenn Sie die Wahl hätten zwischen mehr Arbeitsplatzsicherheit mit einem kleinen Gehaltssprung oder weniger Arbeitsplatzsicherheit mit einem großen Gehaltssprung -wie würden Sie sich entscheiden?
6,"6. Wenn Sie mit einer bedeutenden finanziellen Entscheidung konfrontiert werden, beschäftigen Siesich mehr mit den möglichen Verlusten oder mit den möglichen Gewinnen?"
7,"7. Wie fühlen Sie sich normalerweise, nachdem Sie eine bedeutende finanzielle Entscheidung getroffen haben?"
8,"8. Stellen Sie sich vor, Sie hätten eine Stelle, bei der Sie zwischen einem festen Gehalt, Provisionoder einer Mischung aus beiden wählen könnten. Wie würden Sie sich entscheiden?"
9,9. Wie hoch war Ihre Risikobereitschaft bei finanziellen Entscheidungen in der Vergangenheit?
10,10. Wie hoch ist Ihre momentane Risikobereitschaft bei Ihren finanziellen Entscheidungen?
11,"11. Sie haben die Möglichkeit, eine Investition zu tätigen, bei der es nahezu sicher scheint, einebeträchtliche Rendite zu erzielen. Allerdings haben Sie keine Mittel, um diese Investition umzusetzen. Eine Möglichkeit ist, Geld für diesen Zweck zu leihen. Wie wahrscheinlich ist es, dass Sie dies tun würden?"
12,"12. Wie viel Vertrauen haben Sie in Ihre Fähigkeiten, gute finanzielle Entscheidungen zu fällen?"
13,"13. Nehmen Sie an, Sie hätten vor 5 Jahren Aktien einer hoch angesehenen Firma gekauft. Im gleichen Jahr erfuhr diese Firma aufgrund schlechten Managements einen steilen Umsatzrückgang. Die Aktienpreise sanken drastisch ab und Sie verkauften mit einembeträchtlichen Verlust. Diese Firma wurde unter einem neuen Management umstrukturiert; die meisten Expertenerwarten jetzt, dass die Firma überdurchschnittliche Erträge erzielt. Würden Sie, angesichts Ihrer schlechten Erfahrung mit dieser Firma in der Vergangenheit, jetzt Aktien kaufen?"
14,"14. Investitionen können im Wert steigen oder sinken. Experten sagen oft, dass Sie bereit sein sollten, eine Wertminderung auszusitzen. Um wie viel dürfte der Gesamtwert Ihrer gesamten Investitionen sinken, bis Sie sich unwohl fühlen?"
15,"15. Nehmen Sie an, ein längst verloren geglaubter Verwandter stirbt und hinterlässt Ihnen ein Haus,das sich in schlechtem Zustand befindet, aber in einem Vorort liegt, der sich zunehmender Beliebtheit erfreut.Wie es aussieht, ließe sich das Haus wahrscheinlich für €300.000 verkaufen; wenn Sie aber €100.000 in Renovierungsarbeiten investieren würden, würde der Kaufpreis bei ca. €600.000 liegen. Es wird jedoch davon geredet, eine Hauptverkehrsstraße neben dem Haus zu bauen, was den Wert beträchtlich mindern würde. Welche der folgenden Möglichkeiten würden Sie wählen?"
16,"16. Die meisten Investment-Portfolios bestehen aus einer Mischung verschiedenartiger Anlagen - einige der Papiere erwarten möglicherweise hohe Erträge, sind jedoch mit hohem Risiko behaftet; manche - mit mittlerem Risiko - erwarten mittlere Erträge; und andere können risikoarm/mit niedrigen Erträgen sein. (Aktien zum Beispiel wären risikoreich/mit hohen Erträgen, kurzfristige Spareinlagen hingegen wären risikoarm/mit niedrigen Erträgen.) Welcher Investitionsmix sagt Ihnen am meisten zu? Hätten Sie lieber ausschließlich weniger Risiken/geringere Erträge, nur hohe Risiken/hohe Erträge oder irgendetwas dazwischen? Investitionsmix im Portfolio: 1) Hohes Risiko/hoher Ertrag, 2) Mittleres Risiko/mittlerer Ertrag, 3) Geringes Risiko/geringer Ertrag"
17,"17. Sie ziehen in Erwägung, ein Viertel Ihrer flüssigen Geldmittel in eine einzige Investition zustecken. Es wird erwartet, dass diese Investition ca. das Zweifache des Zinssatzes vonkurzfristigen Spareinlagen abwirft. Im Gegensatz zu kurzfristigen Spareinlagen ist diese Investition jedoch nicht gegen den Verlust des investierten Geldes geschützt.Wie niedrig müsste das Risiko eines Verlusts sein, damit Sie investieren?"
18,"18. Bei manchen Arten von Investitionen, wie Bareinlagen und kurzfristigen Spareinlagen, steht der Erlös der Investition bereits vorher fest. Nur die Inflationsrate wird verursachen, dass die Kaufkraft des Werts sinkt. Bei anderen Arten von Investitionen, wie Aktien oder Grundbesitz, ist der Wert nicht fest-geschrieben; er wird variieren. Auf kurze Sicht gesehen, könnte er unter den Kaufpreis fallen. Auflange Sicht jedoch sollte der Wert von Aktien und Grundbesitz mit Sicherheit um mehr als die Inflationsrate steigen. Was ist Ihnen unter diesem Gesichtspunkt wichtiger - dass der Wert Ihrer Investitionen nicht sinkt oder dass er seine Kaufkraft behält?"
19,19. Wie hat sich Ihr persönliches Investitionsverhalten in den letzten Jahren geändert?
20,"20. Wenn man investiert, liegen Ertrag und Risiko normalerweise eng beisammen. Investitionen, die überdurchschnittliche Erträge erzeugen, bergen normalerweise auch überdurchschnittliche Risiken. Wie viel Ihrer flüssigen Geldmittel wären Sie bereit zu investieren, wenn bei dieser Geldanlage erwartet wird, dass sowohl Ertrag als auch Risiko überdurchschnittlich sein werden?"
21,"21. Denken Sie an die durchschnittliche Ertragsrate, die Sie auf Investment-Portfolios in dennächsten zehn Jahren erzielen möchten. Wie hoch sollte diese Rate im Vergleich dazu sein, wenn Sie Ihr Geld stattdessen in kurzfristige Spareinlagen anlegen würden?"
22,"22. Manche Menschen investieren dort, wo Sie einen Anspruch auf staatliche Förderung haben odereinen Steuervorteil erhalten. Eine Gesetzesänderung kann jedoch dazu führen, dass man schlechter gestellt ist, als wenn man nichts unternommen hätte. Würden Sie es unter diesem Gesichtspunkt riskieren, dort zu investieren, wo Sie einen Anspruchauf eine staatliche Förderung haben oder einen Steuervorteil erhalten?"
23,"23. Stellen Sie sich vor, Sie nehmen irgendwann in der Zukunft einen großen Geldbetrag auf. Es ist nicht klar, wie sich die Zinsen weiter entwickeln werden: sie könnten steigen oder auch fallen –niemand scheint dies zu wissen. Welches der folgenden beiden Darlehen würden Sie mit größerer Wahrscheinlichkeit aufnehmen? 1) Ein Darlehen mit variablem Zins, der mit dem Marktzins steigt oder fällt. 2) Ein Darlehen mit festem Zins, der 1% über dem variablen Zinssatz liegt, sich aber nicht mit dem Marktzins verändert."
24,"24. Mit einer Versicherung können viele wesentliche Risiken des Lebens abgedeckt werden –Diebstahl, Feuer, Unfall, Krankheit, Tod usw. Bei einigen Versicherungen kann eine""Selbstbeteiligung"" gewählt werden, d.h. der Anteil, bis zu dem die Versicherung keine Kosten übernimmt. Je höher die Selbstbeteiligung, umso niedriger die Versicherungskosten. Wenn Sieheute entscheiden müssten, welche Selbstbeteiligung würden Sie wählen?"
25,"25. Dieser Fragenkatalog wird mit einer Skala von 0 bis 100 ausgewertet. Wenn die Auswertunggrafisch dargestellt wird, folgt sie, wie unten dargestellt, der bekannten „Gauß'schenNormalverteilung"". Die Durchschnittspunktzahl ist 50. Zweidrittel aller Punktzahlen liegen plus/minus 10 Punkte um den Durchschnitt. Nur einer von 1000 erreicht weniger als 20 oder mehr als 80."
26,1. Ich bin: 
27,2. Mein Geburtsjahr ist: 
28,3. Mein höchster Bildungsgrad oder gleichwertige Ausbildung ist: 
29,"4. In welchen Einkommensbereich fällt Ihr jährliches Brutto-Einkommen, wenn Sie alle Ihre Einkunftsarten (Arbeit, Anlageerlöse, Familie und öffentliche Gelder) zusammenzählen?"
30,5. Sind Sie verheiratet (oder leben Sie in einer eheähnlichen Gemeinschaft)?
31,"6. Wenn „ja“, in welchen Einkommensbereich fällt Ihr gemeinsames jährliches Brutto-Einkommen?"
32,"7. Wie viele Familienmitglieder, sich ausgenommen, unterstützen Sie finanziell - teilweise oder voll?"
33,"8. Schätzen Sie den Nettowert all Ihres Besitzes, einschließlich Ihres Eigenheims und anderen Privatvermögens, abzüglich Ihrer Schulden. In welchen Bereich fällt der Wert Ihres Nettovermögens? (Falls Sie verheiratet sind oder in einer eheähnlichen Gemeinschaft leben, nehmen Sie nur Ihren Anteil am gemeinsamen Vermögen abzüglich Ihres Anteils an gemeinsamen Schulden.)"
