Q_Id,Item,starke.Ablehnung,Ablehnung,neutral,Zustimmung ,starke.Zustimmung,Factor,Reverse,questions
1,1. Der Besuch einer Kunstausstellung würde mich ziemlich langweilen.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,R,qn1
2,2. Ich putze mein Büro oder zuhause ziemlich oft.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,N,qn2
3,"3. Ich habe selten Wut im Bauch, nicht mal gegen Leute, die mich sehr ungerecht behandelt haben.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,N,qn3
4,4. Im Allgemeinen bin ich mit mir ziemlich zufrieden.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,N,qn4
5,"5. Ich hätte Angst, wenn ich bei schlechten Wetterbedingungen verreisen müsste.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,N,qn5
6,"6. Wenn ich von einer Person, die ich nicht mag, etwas will, verhalte ich mich dieser Person gegenüber sehr nett um es zu bekommen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn6
7,"7. Ich bin daran interessiert, etwas über die Geschichte und Politik anderer Länder zu lernen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,N,qn7
8,"8. Wenn ich arbeite, setze ich mir oft ehrgeizige Ziele.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,N,qn8
9,"9. Andere sagen mir manchmal, dass ich zu kritisch gegenüber anderen bin.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,R,qn9
10,10. Bei Gruppentreffen sage ich nur selten meine Meinung.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,R,qn10
11,"11. Ich kann manchmal nichts dagegen machen, dass ich mir über kleine Dinge Sorgen mache.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,N,qn11
12,"12. Wenn ich wüsste, dass ich niemals erwischt werde, wäre ich bereit, eine Million zu stehlen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn12
13,"13. Ich wünsche mir einen Beruf, der Routine verlangt, anstatt einen, der Kreativität fordert.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,R,qn13
14,"14. Oft kontrolliere ich meine Arbeit mehrfach, um alle Fehler zu finden.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,N,qn14
